TimeStamp|StoreNumber|RegisterNumber|TransactionNumber|CustomerType|CustomerNumber|EmailAddress|RecommendedEans
2011-08-08 16:34:09.6481|2051|9|2182|Unknown|0000000000||
2011-08-08 16:34:09.7263|2289|12|8509|Unknown|0000000000||
2011-08-08 16:34:10.1013|2845|10|8237|Unknown|0000000000||
2011-08-08 16:34:10.1794|2966|7|3511|Unknown|0000000000||9780965900300,9780939680986,9781401905736,9780877287179,9781591797289
2011-08-08 16:34:10.4607|2230|6|2965|Unknown|0000000000||9781596295117,9781439193884,9781560372929,9780674034723,9781592333363
2011-08-08 16:34:10.4919|2234|14|7431|Member|5168997361||
2011-08-08 16:34:10.6325|2086|9|748|Unknown|0000000000||
2011-08-08 16:34:10.7732|2255|2|3089|Unknown|0000000000||9781402250958,9780375429682,9781607148494,9781419550010,9781419550034
2011-08-08 16:34:11.5857|2071|1|8059|Unknown|0000000000||
2011-08-08 16:34:11.8982|2708|3|6929|Unknown|0000000000||9780060518653,9781573928274,9780486406640,9781451608212,9780452284692
2011-08-08 16:34:12.0388|2644|7|5992|Member|5302888790||9781419702235,9781416949305,9781423140597,9781423157267,9780062015129
2011-08-08 16:34:12.8826|2258|3|6650|Unknown|0000000000||9780312628208,9780312578602,9780316043878,9780156029438,9780312349998
2011-08-08 16:34:13.7888|2145|9|6494|Member|5005825572||
2011-08-08 16:34:13.8357|2856|2|1273|Member|5258466557||9780062019516,9780451207470,9781616814793,9780451209856,9780515135213
2011-08-08 16:34:13.8982|2892|1|3009|Member|5007885045||9781437692341,9781615594498,9781615513536,9780525951612,9780312652913
2011-08-08 16:34:13.8982|2258|2|8696|Unknown|0000000000||9781416911777,9780545113182,9780060574932,9780061227684,9780763644512
2011-08-08 16:34:15.3514|2059|4|7830|Unknown|0000000000||
2011-08-08 16:34:15.6795|2119|2|1781|Unknown|0000000000||9780781403740,9781572932159,9780801068195,9780801064425,9780802456007
2011-08-08 16:34:15.8358|2966|9|3558|Member|5046023707||9780689858819,9780688147389,9780688140243,9780140564853,9780060245863
2011-08-08 16:34:15.8514|2234|3|1330|Unknown|0000000000||9780393338690,9780307453372,9780470553732,9780446561938,9780470540862
2011-08-08 16:34:16.4608|2886|7|4409|Member|5116583154||9780312610364,9780312621032,9780345520906,9780767931571,9780380808601
2011-08-08 16:34:16.6639|2645|10|235|Unknown|0000000000||
2011-08-08 16:34:17.1170|2235|11|3003|Member|5251205502||
2011-08-08 16:34:17.2733|2754|1|7166|Unknown|0000000000||9780786947010,9780786942503,9780786948642,9780786948079,9780786940240
2011-08-08 16:34:17.3358|2366|6|1442|Unknown|0000000000||9781609964405,9781609964412,9781600224515,9781600224454,9781936024094
2011-08-08 16:34:18.2421|2323|12|8571|Unknown|0000000000||
2011-08-08 16:34:18.4296|2320|1|1758|Member|5200008505||9780425188644,9780425103555,9780804118750,9780743482950,9780804116206
2011-08-08 16:34:18.8671|1106|6|6036|Unknown|0000000000||9780061626135,9781616796020,9780375854927,9780594254782,9780061885280
2011-08-08 16:34:18.8983|2181|10|6252|Employee|15904167065||
2011-08-08 16:34:18.9296|2126|12|9034|Unknown|0000000000||
2011-08-08 16:34:21.1640|2995|7|7138|Member|5029718242||9780743264341,9780446672658,9781401922344,9780446676922,9781401922337
2011-08-08 16:34:21.1796|2270|4|4044|Member|5210380418||
2011-08-08 16:34:21.2109|2982|3|1231|Unknown|0000000000||9780812975970,9780742551190,9780201624700,9780679755104,9780375713798
2011-08-08 16:34:21.4765|2086|5|538|Unknown|0000000000||9781576836736,9780834003460,9780061808159,9780310936985,9781576839164
2011-08-08 16:34:23.7265|2872|6|1003|Member|5053768976||9780679738909,9781615559183,9781616836634,9781402749988,9780060838676
2011-08-08 16:34:24.5547|2654|1|9731|Unknown|0000000000||9780679737612,9780306815584,9781904341796,9780195126532,9780306802768
2011-08-08 16:34:26.8985|2025|5|6780|Unknown|0000000000||9781595551382,9780525950790,9780061173936,9780061432682,9780525950493
2011-08-08 16:34:27.4610|2708|3|6929|Member|5242052538||9780060518653,9781573928274,9780486406640,9781451608212,9780452284692
2011-08-08 16:34:27.9922|2084|10|9605|Member|5237312674||9780545123280,9780312606169,9781595143068,9781416989431,9781442426641
2011-08-08 16:34:28.1954|2235|8|8059|Unknown|9005014892||9780142408803,9780142408797,9780763644321,9780689818769,9780380732722
2011-08-08 16:34:28.7891|2992|2|8092|Member|5311802553||9780769663166,9780316769518,9780312427658,9780769663364,9780060889579
2011-08-08 16:34:31.3673|2184|11|3034|Unknown|0000000000||
2011-08-08 16:34:39.0550|2862|6|8886|Member|5144307770||
2011-08-08 16:34:40.3050|2768|14|9830|Employee|15903938334||
2011-08-08 16:34:41.0862|2961|10|3734|Unknown|0000000000||
2011-08-08 16:34:41.6175|2230|6|2966|Unknown|0000000000||9780688147389,9780688154721,9780689841750,9780140547399,9780688040741
2011-08-08 16:34:41.9144|2838|3|4071|Member|5134641544||9781593082932,9780764161742,9781932855999,9781593080143,9781402764523
2011-08-08 16:34:42.0081|2840|6|1194|Unknown|0000000000||
2011-08-08 16:34:42.4144|2697|9|7487|Unknown|0000000000||
2011-08-08 16:34:42.8363|2927|6|317|Unknown|0000000000||9780399501487,9780486419237,9780684801223,9780451526342,9780375752513
2011-08-08 16:34:46.8520|2071|1|8060|Unknown|0000000000||
2011-08-08 16:34:47.0707|2235|10|8590|Member|5230244361||31398107163,31398107170,18713580764,18713578532,31398120193
2011-08-08 16:34:47.1645|2026|4|1807|Unknown|0000000000||9780553455304,9780064400565,9780380709243,9780374316501,9780440413288
2011-08-08 16:34:48.5551|2970|12|8786|Unknown|0000000000||
2011-08-08 16:34:48.6020|2226|5|4950|Member|5088605147||
2011-08-08 16:34:48.8208|2750|6|8217|Unknown|0000000000||9780143034773,9780452280052,9780786883141,9781608680139,9781400097852
2011-08-08 16:34:49.2895|2726|10|5735|Member|5167456097||
2011-08-08 16:34:49.8364|2530|3|1666|Member|5081352442||9780553592108,9781416562177,9781416563822,9780785806042,9781435116788
2011-08-08 16:34:50.2583|2090|11|3180|Unknown|0000000000||
2011-08-08 16:34:51.8521|2516|2|3167|Unknown|0000000000||9781593593803
2011-08-08 16:34:52.0083|2071|9|538|Unknown|0000000000||
2011-08-08 16:34:52.8833|2366|14|1637|Member|5229973216||
